Site_code,x,y,Heat_L,PC1,PC2,PC3,Time,Site,Burnt,Habitat,Year,Max_age,Dung,DungL,Altitude,Slope,Aspect,Shrub_ht_cm,Shrub_cover,Graminoids_%,Herb,Other_mosses,bushy lichens,Sphagnum_sp%,Open_water,Pteridium aquilinum,Bare_peat
GR27,204390,354383,0.6823,-0.43306037,-0.725876372,-0.704060118,2014,GR,Y,WH,2014,3,None,None,211,10.7306,36.4164,18,19,61,2,8,0,0,0,0,5
GR3,202291,354173,0.8098,-0.34840841,-0.163569149,0.032516471,2012,GR,Y,Bog,2012,1,Rare,Low,237,0.90585,288.435,7,4,42,1,0.5,0,7,0,0,46
GR3,202291,354173,0.8098,-0.34840841,-0.163569149,0.032516471,2013,GR,Y,Bog,2013,2,None,None,237,0.90585,288.435,18,9,78,1,3,0,1,0,0,8
GR3,202291,354173,0.8098,-0.34840841,-0.163569149,0.032516471,2014,GR,Y,Bog,2014,3,None,None,237,0.90585,288.435,21,9,71,3,11,0,5,0,0,0
GR34,202769,353991,0.7973,-0.147269977,0.23771081,0.169719077,2012,GR,Y,Bog,2012,1,Rare,Low,242,1.09075,23.1986,7,9,5,4,0.5,0,30,0,0,53
GR34,202769,353991,0.7973,-0.147269977,0.23771081,0.169719077,2013,GR,Y,Bog,2013,2,None,None,242,1.09075,23.1986,11,14,8,5,1,0,27,0,0,46
GR34,202769,353991,0.7973,-0.147269977,0.23771081,0.169719077,2014,GR,Y,Bog,2014,3,Rare,Low,242,1.09075,23.1986,17,23,13,0.5,5,0,33,0,0,25
GR5,202515,353824,0.7971,-0.008884593,-0.300866293,-0.413196041,2012,GR,N,Bog,2012,9,Rare,Low,245,1.18102,75.9638,15,42,4,19,9,5,25,0,0,4
GR5,202515,353824,0.7971,-0.008884593,-0.300866293,-0.413196041,2013,GR,N,Bog,2013,10,None,None,245,1.18102,75.9638,16,25,5,0.5,22,4,8,0,0,27
GR5,202515,353824,0.7971,-0.008884593,-0.300866293,-0.413196041,2014,GR,N,Bog,2014,11,None,None,245,1.18102,75.9638,18,26,10,30,17,0,21,0,0,3
GR6,202515,354126,0.8107,0.054754859,0.583978671,-0.135452903,2012,GR,Y,Bog,2012,1,Rare,Low,241,1.18102,284.036,11,15,20,0.5,0.5,0,15,0,0,50
GR6,202515,354126,0.8107,0.054754859,0.583978671,-0.135452903,2013,GR,Y,Bog,2013,2,None,None,241,1.18102,284.036,13,25,16,1,3,0,12,0,0,44
GR6,202515,354126,0.8107,0.054754859,0.583978671,-0.135452903,2014,GR,Y,Bog,2014,3,None,None,241,1.18102,284.036,20,26,27,0.5,7,0,27,0,0,14
GR8,202816,353827,0.8035,-0.338587816,0.097713815,-0.065360921,2012,GR,N,Bog,2012,14,None,None,244,0.730341,348.69,25,51,8,1,0,1,40,0,0,0
GR8,202816,353827,0.8035,-0.338587816,0.097713815,-0.065360921,2013,GR,N,Bog,2013,15,None,None,244,0.730341,348.69,27,38,8,12,2,9,20,0,0,1
GR8,202816,353827,0.8035,-0.338587816,0.097713815,-0.065360921,2014,GR,N,Bog,2014,16,None,None,244,0.730341,348.69,22,35,15,0,14,0,18,0,0,0
MNB,250988,381595,0.6477,0.768773393,-0.346786446,0.238011516,2012,MN,Y,DH,2012,1,None,None,391,13.2274,51.9112,10,39,37,4,14,0,0,0,0,6
MNB,250988,381595,0.6477,0.768773393,-0.346786446,0.238011516,2013,MN,Y,DH,2013,2,None,None,391,13.2274,51.9112,20,39,49,7,3,0,0,0,0,1
MNB,250988,381595,0.6477,0.768773393,-0.346786446,0.238011516,2014,MN,Y,DH,2014,3,None,None,391,13.2274,51.9112,33,46,36,10,10,0,0,0,0,0
MNB102,251829,381519,0.7778,0.09692665,0.325429479,-0.427706955,2012,MN,Y,Bog,2012,1,None,None,426,7.07974,319.899,14,29,43,0.5,12,0,0,0,0,15
MNB102,251829,381519,0.7778,0.09692665,0.325429479,-0.427706955,2013,MN,Y,Bog,2013,2,None,None,426,7.07974,319.899,18,25,61,1,7,0,1,0,0,5
MNB102,251829,381519,0.7778,0.09692665,0.325429479,-0.427706955,2014,MN,Y,Bog,2014,3,None,None,426,7.07974,319.899,29,34,27,1,19,0,21,0,0,0
MNB103,252119,381509,0.7612,-0.895922896,-0.191179731,0.403932656,2012,MN,Y,Bog,2012,1,Abundant,High,411,9.17928,124.919,9,31,7,0,6,0,0,0,0,56
