Site_code,x,y,Heat_L,PC1,PC2,PC3,Time,Site,Burnt,Habitat,Year,Max_age,Dung,DungL,Altitude,Slope,Aspect,Shrub_ht_cm,Shrub_cover,Graminoids_%,Herb,Other_mosses,bushy lichens,Sphagnum_sp%,Open_water,Pteridium aquilinum,Bare_peat
SA95,311929,429495,0.7912,-0.536550718,0.295089443,-0.396797205,2012,SA,N,Bog,2012,12,None,None,303,2.26364,325.305,26,42,15,25,10,0,8,0,0,0
SA95,311929,429495,0.7912,-0.536550718,0.295089443,-0.396797205,2013,SA,N,Bog,2013,13,None,None,303,2.26364,325.305,33,45,8,0.5,11,3,50,0,0,0
SA95,311929,429495,0.7912,-0.536550718,0.295089443,-0.396797205,2014,SA,N,Bog,2014,14,None,None,303,2.26364,325.305,28,40,9,28,21,0,13,0,0,0
SA97,312051,430150,0.8165,-0.055506091,0.476078315,-0.260616622,2012,SA,Y,Bog,2012,1,None,None,325,7.58085,174.611,11,13,12,1,6,0,30,0,0,38
SA97,312051,430150,0.8165,-0.055506091,0.476078315,-0.260616622,2013,SA,Y,Bog,2013,2,None,None,325,7.58085,174.611,19,44,10,0.5,8,0,17,0,0,0
SA97,312051,430150,0.8165,-0.055506091,0.476078315,-0.260616622,2014,SA,Y,Bog,2014,3,None,None,325,7.58085,174.611,25,58,8,3,11,0,17,0,0,7
SH1,249827,346853,0.7933,-0.473566107,-0.204115728,-0.226743657,2012,SH,N,Bog,2012,17,None,None,232,7.51978,307.304,40,58,22.5,0,6,11,0.5,0,0,0
SH1,249827,346853,0.7933,-0.473566107,-0.204115728,-0.226743657,2013,SH,N,Bog,2013,18,None,None,232,7.51978,307.304,42,62,16,0,1,0.5,20,0,0,6
SH1,249827,346853,0.7933,-0.473566107,-0.204115728,-0.226743657,2014,SH,N,Bog,2014,19,None,None,232,7.51978,307.304,42,78,12,0,2,5,58,0,0,1
SH102,250127,344452,0.7853,-0.416234324,0.765329551,0.22118955,2012,SH,Y,Bog,2012,1,None,None,271,2.59241,6.34019,6,0.5,47,0.5,2,0,0,2,0,51
SH102,250127,344452,0.7853,-0.416234324,0.765329551,0.22118955,2013,SH,Y,Bog,2013,2,None,None,271,2.59241,6.34019,20,1,77,5,2,0,2,0,0,14
