Site,Burnt,Habitat,pH,P,K,Mg ,S,Ca,Total N,Total C
SA,Y,Bog,4.08,4.1,62,181,11.4,96,1.42,45.1
SA,Y,Bog,4.04,6.2,54,227,8.45,145,1.82,51.8
SA,Y,Bog,3.98,4.9,76,281,7.99,164,1.51,55.9
SA,N,Bog,3.97,4.3,66,288,12.8,126,1.75,52.2
SA,N,Bog,3.98,5.4,60,281,9.94,138,1.92,51.2
SA,Y,Bog,4.1,5.3,77,235,8.72,198,1.67,52.4
SA,Y,Bog,4.11,4.1,49,205,7.76,95,1.62,52.6
SA,Y,Bog,3.93,8.9,69,217,10.7,105,1.73,53.2
SA,N,Bog,3.97,3.8,95,240,11.5,113,2.24,51.9
SA,N,Bog,3.92,6.9,82,274,10.7,123,2.32,52
SA,Y,Bog,4.13,4.2,60,253,9.41,99,1.79,52.5
SH,N,Bog,3.95,5.9,130,235,11.9,151,1.85,53.4
SH,Y,Bog,4,5.8,51,309,8.12,214,2.04,53.8
SH,Y,Bog,4.16,11,135,122,12.1,129,2.33,51.4
SH,Y,Bog,4.08,8.5,83,143,11.7,248,2.11,51.6
SH,Y,Bog,3.91,3.9,28,121,6.45,109,1.54,51.6
SH,N,Bog,3.97,2.3,70,91,10.4,42,1.49,50.2
SH,N,Bog,3.91,4,154,205,9.99,134,2.19,52.2
SH,N,Bog,3.96,4.5,67,170,8.16,57,1.84,54.1
SH,Y,Bog,4.23,4.2,115,129,11,181,1.64,52
SH,Y,Bog,4.13,2,66,110,8.4,187,1.4,52.1
SH,Y,Bog,4.05,5.1,80,207,8.1,431,1.98,52.9
SH,N,Bog,3.98,4.3,62,141,7.71,49,1.96,51.7
SH,N,Bog,4.01,3.4,73,254,8.79,194,1.94,53.3
SH,N,Bog,3.96,3.4,68,156,9.56,76,2.12,52
SH,N,Bog,4.03,4.2,93,240,10.1,129,2.09,53
SH,N,Bog,3.94,6.1,101,186,11.1,66,2.15,53
SH,N,Bog,4.01,2.1,94,165,8.21,27,1.36,50.9
SH,Y,Bog,4.22,5.9,106,93,11.8,121,1.79,49.6
SH,Y,Bog,3.91,4.6,135,215,10.8,185,2.17,51.4
SH,Y,Bog,4.03,9.2,112,202,11.1,316,1.71,51.8
