"country","area","population","Density"
"Belize",22966,340844,14.8
"Costa Rica",51100,4586353,89.8
"El Salvador",21044,6290420,298.9
"Guatamala",108889,15806675,145.2
"Honduras",112492,8249574,73.3
"Nicaragua",130375,6071045,46.6
"Panama",75517,4101806,54.3
